,hour,Quantity
0,6.0,51.0
19,6.0,107.0
37,6.0,106.0
56,6.0,116.0
74,6.0,84.0
92,6.0,72.0
110,6.0,74.0
129,6.0,63.0
147,6.0,114.0
165,6.0,132.0
183,6.0,105.0
201,6.0,118.0
219,6.0,127.0
237,6.0,88.0
255,6.0,47.0
273,6.0,108.0
291,6.0,120.0
309,6.0,123.0
327,6.0,125.0
345,6.0,110.0
363,6.0,99.0
381,6.0,47.0
399,6.0,128.0
417,6.0,102.0
435,6.0,106.0
453,6.0,135.0
472,6.0,124.0
490,6.0,119.0
508,6.0,95.0
526,6.0,109.0
1,7.0,133.0
20,7.0,272.0
38,7.0,267.0
57,7.0,269.0
75,7.0,208.0
93,7.0,225.0
111,7.0,176.0
130,7.0,156.0
148,7.0,292.0
166,7.0,308.0
184,7.0,269.0
202,7.0,297.0
220,7.0,273.0
238,7.0,286.0
256,7.0,124.0
274,7.0,291.0
292,7.0,287.0
310,7.0,316.0
328,7.0,304.0
346,7.0,272.0
364,7.0,277.0
382,7.0,152.0
400,7.0,328.0
418,7.0,324.0
436,7.0,329.0
454,7.0,326.0
473,7.0,320.0
491,7.0,262.0
509,7.0,196.0
527,7.0,229.0
2,8.0,229.0
21,8.0,411.0
39,8.0,524.0
58,8.0,457.0
76,8.0,336.0
94,8.0,351.0
112,8.0,292.0
131,8.0,298.0
149,8.0,572.0
167,8.0,539.0
185,8.0,515.0
203,8.0,510.0
221,8.0,440.0
239,8.0,338.0
257,8.0,235.0
275,8.0,543.0
293,8.0,521.0
311,8.0,483.0
329,8.0,478.0
347,8.0,469.0
365,8.0,358.0
383,8.0,230.0
401,8.0,594.0
419,8.0,501.0
437,8.0,494.0
455,8.0,445.0
474,8.0,542.0
492,8.0,384.0
510,8.0,292.0
528,8.0,393.0
3,9.0,306.0
22,9.0,502.0
40,9.0,516.0
59,9.0,489.0
77,9.0,354.0
95,9.0,390.0
113,9.0,357.0
132,9.0,302.0
150,9.0,573.0
168,9.0,644.0
186,9.0,556.0
204,9.0,540.0
222,9.0,524.0
240,9.0,424.0
258,9.0,315.0
276,9.0,632.0
294,9.0,631.0
312,9.0,617.0
330,9.0,593.0
348,9.0,561.0
366,9.0,475.0
384,9.0,331.0
402,9.0,633.0
420,9.0,496.0
438,9.0,652.0
456,9.0,628.0
475,9.0,589.0
493,9.0,442.0
511,9.0,355.0
529,9.0,416.0
4,10.0,288.0
23,10.0,462.0
41,10.0,462.0
60,10.0,482.0
78,10.0,332.0
96,10.0,361.0
114,10.0,345.0
133,10.0,351.0
151,10.0,565.0
169,10.0,556.0
187,10.0,579.0
205,10.0,560.0
223,10.0,575.0
241,10.0,479.0
259,10.0,294.0
277,10.0,607.0
295,10.0,568.0
313,10.0,599.0
331,10.0,634.0
349,10.0,531.0
367,10.0,422.0
385,10.0,319.0
403,10.0,531.0
421,10.0,613.0
439,10.0,524.0
457,10.0,641.0
476,10.0,619.0
494,10.0,578.0
512,10.0,388.0
530,10.0,421.0
5,11.0,307.0
24,11.0,419.0
42,11.0,484.0
61,11.0,465.0
79,11.0,354.0
97,11.0,432.0
115,11.0,377.0
134,11.0,348.0
152,11.0,614.0
170,11.0,572.0
188,11.0,511.0
206,11.0,521.0
224,11.0,486.0
242,11.0,422.0
260,11.0,318.0
278,11.0,552.0
296,11.0,571.0
314,11.0,508.0
332,11.0,517.0
350,11.0,550.0
368,11.0,375.0
386,11.0,357.0
404,11.0,611.0
422,11.0,523.0
440,11.0,557.0
458,11.0,560.0
477,11.0,604.0
495,11.0,534.0
513,11.0,382.0
531,11.0,436.0
6,12.0,246.0
25,12.0,421.0
43,12.0,469.0
62,12.0,460.0
80,12.0,282.0
98,12.0,406.0
116,12.0,318.0
135,12.0,333.0
153,12.0,498.0
171,12.0,456.0
189,12.0,532.0
207,12.0,517.0
225,12.0,523.0
243,12.0,461.0
261,12.0,272.0
279,12.0,544.0
297,12.0,563.0
315,12.0,498.0
333,12.0,497.0
351,12.0,564.0
369,12.0,444.0
387,12.0,328.0
405,12.0,525.0
423,12.0,488.0
441,12.0,550.0
459,12.0,554.0
478,12.0,542.0
496,12.0,493.0
514,12.0,366.0
532,12.0,348.0
7,13.0,246.0
26,13.0,415.0
44,13.0,463.0
63,13.0,423.0
81,13.0,270.0
99,13.0,335.0
117,13.0,328.0
136,13.0,287.0
154,13.0,554.0
172,13.0,561.0
190,13.0,428.0
208,13.0,457.0
226,13.0,585.0
244,13.0,410.0
262,13.0,299.0
280,13.0,557.0
298,13.0,543.0
316,13.0,498.0
334,13.0,510.0
352,13.0,465.0
370,13.0,365.0
388,13.0,280.0
406,13.0,492.0
424,13.0,500.0
442,13.0,531.0
460,13.0,564.0
479,13.0,504.0
497,13.0,451.0
515,13.0,317.0
533,13.0,399.0
8,14.0,264.0
27,14.0,403.0
45,14.0,458.0
64,14.0,471.0
82,14.0,272.0
100,14.0,388.0
118,14.0,343.0
137,14.0,305.0
155,14.0,485.0
173,14.0,505.0
191,14.0,502.0
209,14.0,535.0
227,14.0,495.0
245,14.0,421.0
263,14.0,323.0
281,14.0,480.0
299,14.0,521.0
317,14.0,510.0
335,14.0,442.0
353,14.0,510.0
371,14.0,427.0
389,14.0,393.0
407,14.0,505.0
425,14.0,508.0
443,14.0,526.0
461,14.0,481.0
480,14.0,495.0
498,14.0,514.0
516,14.0,318.0
534,14.0,399.0
9,15.0,293.0
28,15.0,358.0
46,15.0,510.0
65,15.0,470.0
83,15.0,258.0
101,15.0,421.0
119,15.0,386.0
138,15.0,304.0
156,15.0,525.0
174,15.0,517.0
192,15.0,513.0
210,15.0,535.0
228,15.0,529.0
246,15.0,397.0
264,15.0,345.0
282,15.0,508.0
300,15.0,543.0
318,15.0,540.0
336,15.0,528.0
354,15.0,544.0
372,15.0,463.0
390,15.0,392.0
408,15.0,552.0
426,15.0,493.0
444,15.0,473.0
462,15.0,501.0
481,15.0,595.0
499,15.0,534.0
517,15.0,273.0
535,15.0,382.0
10,16.0,308.0
29,16.0,315.0
47,16.0,403.0
66,16.0,415.0
84,16.0,237.0
102,16.0,335.0
120,16.0,413.0
139,16.0,322.0
157,16.0,519.0
175,16.0,500.0
193,16.0,432.0
211,16.0,491.0
229,16.0,458.0
247,16.0,374.0
265,16.0,344.0
283,16.0,505.0
301,16.0,511.0
319,16.0,489.0
337,16.0,526.0
355,16.0,472.0
373,16.0,388.0
391,16.0,393.0
409,16.0,562.0
427,16.0,536.0
445,16.0,525.0
463,16.0,468.0
482,16.0,535.0
500,16.0,450.0
518,16.0,309.0
536,16.0,475.0
11,17.0,263.0
30,17.0,314.0
48,17.0,412.0
67,17.0,392.0
85,17.0,220.0
103,17.0,378.0
121,17.0,346.0
140,17.0,309.0
158,17.0,484.0
176,17.0,517.0
194,17.0,403.0
212,17.0,501.0
230,17.0,487.0
248,17.0,438.0
266,17.0,381.0
284,17.0,483.0
302,17.0,518.0
320,17.0,513.0
338,17.0,492.0
356,17.0,514.0
374,17.0,374.0
392,17.0,344.0
410,17.0,461.0
428,17.0,517.0
446,17.0,480.0
464,17.0,449.0
483,17.0,484.0
501,17.0,416.0
519,17.0,350.0
537,17.0,539.0
12,18.0,224.0
31,18.0,260.0
49,18.0,388.0
68,18.0,389.0
86,18.0,228.0
104,18.0,340.0
122,18.0,265.0
141,18.0,259.0
159,18.0,448.0
177,18.0,356.0
195,18.0,384.0
213,18.0,396.0
231,18.0,480.0
249,18.0,370.0
